Name,FeatureId,Kind,Part,Vertex,X,Y,Z
"osm_way_683739400_0_2","osm:way/683739400","green",0,2,-5966.154310780805,3869.511446009521,-0.03962135501822672
"osm_way_683739400_0_3","osm:way/683739400","green",0,3,-5261.381286629597,2987.4004690586953,-0.02867678452425082
"osm_way_683739400_0_4","osm:way/683739400","green",0,4,-5288.983516878383,2501.9027127308545,-0.026811380076274816
"osm_way_683739400_0_5","osm:way/683739400","green",0,5,-6320.14931120531,2582.9953153445545,-0.036504757514421726
"osm_way_683739401_0_0","osm:way/683739401","green",0,0,8935.361842555025,-1189.916692610376,-0.06360306195949406
"osm_way_683739401_0_1","osm:way/683739401","green",0,1,9748.920137497453,-1338.798998623617,-0.07579628056468835
"osm_way_683739401_0_2","osm:way/683739401","green",0,2,10889.690932057563,-1327.7065566662498,-0.09420081230890887
"osm_way_683739401_0_3","osm:way/683739401","green",0,3,11616.374690015185,-1287.7233801067318,-0.10691943408183135
"osm_way_683739401_0_4","osm:way/683739401","green",0,4,13565.826495791833,-1667.7141636170866,-0.14622520823461826
"osm_way_683739401_0_5","osm:way/683739401","green",0,5,13530.093805240771,-2044.335140902263,-0.1465655195612925
"osm_way_683739401_0_6","osm:way/683739401","green",0,6,8893.945828866723,-1743.1834069957724,-0.06429983459774746
"osm_way_683739401_0_7","osm:way/683739401","green",0,7,8935.361842555025,-1189.916692610376,-0.06360306195949406
"osm_way_683739402_0_0","osm:way/683739402","green",0,0,19420.670364834892,-2595.5234221387127,-0.30049466028092553
"osm_way_683739402_0_1","osm:way/683739402","green",0,1,15628.941542669558,-2288.795478055681,-0.19529869045129544
"osm_way_683739402_0_2","osm:way/683739402","green",0,2,14327.413354305958,-2098.7894452304367,-0.1641274704406115
"osm_way_683739402_0_3","osm:way/683739402","green",0,3,14363.143287175175,-1873.2615769846134,-0.1642261985782767
"osm_way_683739402_0_4","osm:way/683739402","green",0,4,14850.306458350215,-1794.3925910535831,-0.17513800426645076
"osm_way_683739402_0_5","osm:way/683739402","green",0,5,16399.470533003732,-2187.714617902896,-0.2142593641496049
"osm_way_683739402_0_6","osm:way/683739402","green",0,6,16780.27829912156,-1779.9948375185813,-0.22287805506362446
"osm_way_683739402_0_7","osm:way/683739402","green",0,7,19480.770603785073,-2001.151676043292,-0.30017849124419627
"osm_way_683739402_0_8","osm:way/683739402","green",0,8,19420.670364834892,-2595.5234221387127,-0.30049466028092553
"osm_way_683739403_0_0","osm:way/683739403","green",0,0,-17946.291586254138,996.3103876060112,-0.25286161456872236
"osm_way_683739403_0_1","osm:way/683739403","green",0,1,-17906.518377574597,1444.035726667857,-0.25260380931033666
"osm_way_683739403_0_2","osm:way/683739403","green",0,2,-15600.604927714807,1240.7835951817237,-0.19170051418253564
"osm_way_683739403_0_3","osm:way/683739403","green",0,3,-15641.191328544639,781.9485873854665,-0.19196395759393248
"osm_way_683739403_0_4","osm:way/683739403","green",0,4,-17946.291586254138,996.3103876060112,-0.25286161456872236
"osm_way_683739404_0_0","osm:way/683739404","green",0,0,-14584.857626181974,727.5341645470517,-0.16690909308345603
"osm_way_683739404_0_1","osm:way/683739404","green",0,1,-14558.07086350746,1064.161191385804,-0.16677186672389155
"osm_way_683739404_0_2","osm:way/683739404","green",0,2,-8418.990721335194,465.4477406624633,-0.05564699821039021
"osm_way_683739404_0_3","osm:way/683739404","green",0,3,-8468.514842000965,134.37556157170306,-0.056145649796335295
"osm_way_683739404_0_4","osm:way/683739404","green",0,4,-14584.857626181974,727.5341645470517,-0.16690909308345603
"osm_way_683739405_0_0","osm:way/683739405","green",0,0,-7734.521569945042,29.952351807959477,-0.046823678268428925
"osm_way_683739405_0_1","osm:way/683739405","green",0,1,-7704.483961308602,391.02067377649297,-0.046580228491643894
"osm_way_683739405_0_2","osm:way/683739405","green",0,2,-7530.728972714855,376.57990446930813,-0.04449949027149902
"osm_way_683739405_0_3","osm:way/683739405","green",0,3,-7559.954735017396,15.511599205770077,-0.04473334309194055
"osm_way_683739405_0_4","osm:way/683739405","green",0,4,-7734.521569945042,29.952351807959477,-0.046823678268428925
"osm_way_683739406_0_0","osm:way/683739406","green",0,0,-2389.531615315977,-531.0518855068497,-0.004690677380470021
"osm_way_683739406_0_1","osm:way/683739406","green",0,1,-3031.7738789096265,-571.0496731254938,-0.00745045540946343
"osm_way_683739406_0_2","osm:way/683739406","green",0,2,-6605.925009689511,-248.89130668052877,-0.03420406311065438
"osm_way_683739406_0_3","osm:way/683739406","green",0,3,-6549.09450593799,283.267899682001,-0.03363325260259398
"osm_way_683739406_0_4","osm:way/683739406","green",0,4,-3302.151188672975,-121.10467821398103,-0.00854612689101808
"osm_way_683739406_0_5","osm:way/683739406","green",0,5,-2441.4979751768947,127.75812566173839,-0.004678303645944126
"osm_way_683739406_0_6","osm:way/683739406","green",0,6,-930.4805952450753,-243.3049087868076,-0.0007241465358909238
"osm_way_683739406_0_7","osm:way/683739406","green",0,7,-971.076817155997,-706.5829638670573,-0.0011301327436097353
"osm_way_683739406_0_8","osm:way/683739406","green",0,8,-2389.531615315977,-531.0518855068497,-0.004690677380470021
"osm_way_683739407_0_0","osm:way/683739407","green",0,0,-622.755762533231,-731.0240801597986,-0.0007231717927602688
"osm_way_683739407_0_1","osm:way/683739407","green",0,1,-578.9115006144651,-329.9608339249824,-0.0003477654316963452
